time,open,high,low,close,volume,ticker
2020-09-21,7320,7330,7190,7330,2000,ITD
2020-09-22,6980,7330,6980,7330,1850,ITD
2020-09-23,7110,7250,7040,7250,15330,ITD
2020-09-24,7040,7250,7040,7250,40,ITD
2020-09-25,7050,7140,7040,7140,2510,ITD
2020-09-28,7040,7050,6980,6980,21210,ITD
2020-09-29,7110,7330,7010,7010,8740,ITD
2020-09-30,7330,7330,7040,7040,1100,ITD
2020-10-01,7110,7110,7010,7110,7100,ITD
2020-10-02,7110,7190,6970,7080,29510,ITD
2020-10-05,7000,7160,7000,7160,1680,ITD
2020-10-06,7010,7110,7000,7110,1080,ITD
2020-10-07,7300,7300,7080,7150,56620,ITD
2020-10-08,7330,7330,7080,7080,11290,ITD
2020-10-09,7180,7180,7080,7110,5060,ITD
2020-10-12,7150,7330,7120,7150,33860,ITD
2020-10-13,7080,7330,7080,7220,18280,ITD
2020-10-14,7320,7320,7090,7090,13390,ITD
2020-10-15,7220,7260,7090,7190,11830,ITD
2020-10-16,7110,7120,7080,7080,1930,ITD
2020-10-19,7110,7220,7040,7220,41650,ITD
2020-10-20,7150,7230,7110,7220,37150,ITD
2020-10-21,7220,7240,7120,7220,43560,ITD
2020-10-22,7120,7120,7040,7040,24810,ITD
2020-10-23,7040,7120,7040,7070,129980,ITD
2020-10-26,7110,7180,7080,7180,131970,ITD
2020-10-27,7110,7150,7110,7110,9710,ITD
2020-10-28,7110,7110,7040,7040,8600,ITD
2020-10-29,7030,7080,7030,7040,5830,ITD
2020-10-30,7030,7110,7030,7040,14420,ITD
2020-11-02,7160,7480,7110,7440,52240,ITD
2020-11-03,7410,7440,7330,7410,124650,ITD
2020-11-04,7440,7660,7410,7660,64780,ITD
2020-11-05,7590,7590,7160,7330,36560,ITD
2020-11-06,7330,7410,7260,7270,30300,ITD
2020-11-09,7270,7310,7260,7300,37660,ITD
2020-11-10,7300,7310,7270,7310,60910,ITD
2020-11-11,7300,7320,7250,7250,101980,ITD
2020-11-12,7290,7300,7080,7270,57280,ITD
2020-11-13,7300,7770,7290,7520,113430,ITD
2020-11-16,7720,7720,7300,7310,106890,ITD
2020-11-17,7300,7390,7290,7310,89700,ITD
2020-11-18,7310,7310,7150,7230,68550,ITD
2020-11-19,7230,7230,6830,7150,172100,ITD
2020-11-20,7000,7650,7000,7650,850120,ITD
2020-11-23,7650,7920,7480,7720,547540,ITD
2020-11-24,7720,7720,7490,7560,54630,ITD
2020-11-25,7560,7720,7480,7560,7250,ITD
2020-11-26,7480,7700,7480,7480,41390,ITD
